FILE_NAME	LENGTH_BIN	Count	Length
W621.hifi_reads_test_Nremove.fastq	13150-13250	0	17500
W641.hifi_reads_test_Nremove.fastq	13150-13250	1	17600
W621.hifi_reads_test_Nremove.fastq	13250-13350	0	17700
W641.hifi_reads_test_Nremove.fastq	13250-13350	0	17800
W621.hifi_reads_test_Nremove.fastq	13350-13450	1	17900
W641.hifi_reads_test_Nremove.fastq	13350-13450	1	18000
W621.hifi_reads_test_Nremove.fastq	13450-13550	1	18100
W641.hifi_reads_test_Nremove.fastq	13450-13550	0	18200
W621.hifi_reads_test_Nremove.fastq	13550-13650	2	18300
W641.hifi_reads_test_Nremove.fastq	13550-13650	1	18400
W621.hifi_reads_test_Nremove.fastq	13650-13750	0	18500
W641.hifi_reads_test_Nremove.fastq	13650-13750	0	18600
W621.hifi_reads_test_Nremove.fastq	13750-13850	3	18700
W641.hifi_reads_test_Nremove.fastq	13750-13850	3	18800
W621.hifi_reads_test_Nremove.fastq	13850-13950	3	18900
W641.hifi_reads_test_Nremove.fastq	13850-13950	4	19000
W621.hifi_reads_test_Nremove.fastq	13950-14050	0	19100
W641.hifi_reads_test_Nremove.fastq	13950-14050	3	19200
W621.hifi_reads_test_Nremove.fastq	14050-14150	2	19300
W641.hifi_reads_test_Nremove.fastq	14050-14150	3	19400
W621.hifi_reads_test_Nremove.fastq	14150-14250	3	19500
W641.hifi_reads_test_Nremove.fastq	14150-14250	0	19600
W621.hifi_reads_test_Nremove.fastq	14250-14350	2	19700
W641.hifi_reads_test_Nremove.fastq	14250-14350	2	19800
W621.hifi_reads_test_Nremove.fastq	14350-14450	3	19900
W641.hifi_reads_test_Nremove.fastq	14350-14450	0	20000
W621.hifi_reads_test_Nremove.fastq	14450-14550	2	20100
W641.hifi_reads_test_Nremove.fastq	14450-14550	5	20200
W621.hifi_reads_test_Nremove.fastq	14550-14650	2	20300
W641.hifi_reads_test_Nremove.fastq	14550-14650	4	20400
W621.hifi_reads_test_Nremove.fastq	14650-14750	2	20500
W641.hifi_reads_test_Nremove.fastq	14650-14750	5	20600
W621.hifi_reads_test_Nremove.fastq	14750-14850	2	20700
W641.hifi_reads_test_Nremove.fastq	14750-14850	2	20800
W621.hifi_reads_test_Nremove.fastq	14850-14950	3	20900
W641.hifi_reads_test_Nremove.fastq	14850-14950	2	21000
W621.hifi_reads_test_Nremove.fastq	14950-15050	3	21100
W641.hifi_reads_test_Nremove.fastq	14950-15050	3	21200
W621.hifi_reads_test_Nremove.fastq	15050-15150	4	21300
W641.hifi_reads_test_Nremove.fastq	15050-15150	5	21400
W621.hifi_reads_test_Nremove.fastq	15150-15250	5	21500
W641.hifi_reads_test_Nremove.fastq	15150-15250	3	21600
W621.hifi_reads_test_Nremove.fastq	15250-15350	3	21700
W641.hifi_reads_test_Nremove.fastq	15250-15350	3	21800
W621.hifi_reads_test_Nremove.fastq	15350-15450	1	21900
W641.hifi_reads_test_Nremove.fastq	15350-15450	4	22000
W621.hifi_reads_test_Nremove.fastq	15450-15550	6	22100
W641.hifi_reads_test_Nremove.fastq	15450-15550	5	22200
W621.hifi_reads_test_Nremove.fastq	15550-15650	1	22300
W641.hifi_reads_test_Nremove.fastq	15550-15650	1	22400
W621.hifi_reads_test_Nremove.fastq	15650-15750	1	22500
W641.hifi_reads_test_Nremove.fastq	15650-15750	1	22600
W621.hifi_reads_test_Nremove.fastq	15750-15850	1	22700
W641.hifi_reads_test_Nremove.fastq	15750-15850	4	22800
W621.hifi_reads_test_Nremove.fastq	15850-15950	3	22900
W641.hifi_reads_test_Nremove.fastq	15850-15950	3	23000
W621.hifi_reads_test_Nremove.fastq	15950-16050	7	23100
W641.hifi_reads_test_Nremove.fastq	15950-16050	1	23200
W621.hifi_reads_test_Nremove.fastq	16050-16150	3	23300
W641.hifi_reads_test_Nremove.fastq	16050-16150	3	23400
W621.hifi_reads_test_Nremove.fastq	16150-16250	5	23500
W641.hifi_reads_test_Nremove.fastq	16150-16250	3	23600
W621.hifi_reads_test_Nremove.fastq	16250-16350	5	23700
W641.hifi_reads_test_Nremove.fastq	16250-16350	1	23800
W621.hifi_reads_test_Nremove.fastq	16350-16450	2	23900
W641.hifi_reads_test_Nremove.fastq	16350-16450	4	24000
W621.hifi_reads_test_Nremove.fastq	16450-16550	3	24100
W641.hifi_reads_test_Nremove.fastq	16450-16550	3	24200
W621.hifi_reads_test_Nremove.fastq	16550-16650	3	24300
W641.hifi_reads_test_Nremove.fastq	16550-16650	1	24400
W621.hifi_reads_test_Nremove.fastq	16650-16750	4	24500
W641.hifi_reads_test_Nremove.fastq	16650-16750	4	24600
W621.hifi_reads_test_Nremove.fastq	16750-16850	1	24700
W641.hifi_reads_test_Nremove.fastq	16750-16850	2	24800
W621.hifi_reads_test_Nremove.fastq	16850-16950	0	24900
W641.hifi_reads_test_Nremove.fastq	16850-16950	3	25000
W621.hifi_reads_test_Nremove.fastq	16950-17050	3	25100
W641.hifi_reads_test_Nremove.fastq	16950-17050	2	25200
W621.hifi_reads_test_Nremove.fastq	17050-17150	1	25300
W641.hifi_reads_test_Nremove.fastq	17050-17150	2	25400
W621.hifi_reads_test_Nremove.fastq	17150-17250	1	25500
W641.hifi_reads_test_Nremove.fastq	17150-17250	4	25600
W621.hifi_reads_test_Nremove.fastq	17250-17350	4	25700
W641.hifi_reads_test_Nremove.fastq	17250-17350	2	25800
W621.hifi_reads_test_Nremove.fastq	17350-17450	2	25900
W641.hifi_reads_test_Nremove.fastq	17350-17450	3	26000
W621.hifi_reads_test_Nremove.fastq	17450-17550	3	26100
W641.hifi_reads_test_Nremove.fastq	17450-17550	3	26200
W621.hifi_reads_test_Nremove.fastq	17550-17650	5	26300
W641.hifi_reads_test_Nremove.fastq	17550-17650	0	26400
W621.hifi_reads_test_Nremove.fastq	17650-17750	0	26500
W641.hifi_reads_test_Nremove.fastq	17650-17750	1	26600
W621.hifi_reads_test_Nremove.fastq	17750-17850	2	26700
W641.hifi_reads_test_Nremove.fastq	17750-17850	2	26800
W621.hifi_reads_test_Nremove.fastq	17850-17950	1	26900
W641.hifi_reads_test_Nremove.fastq	17850-17950	1	27000
W621.hifi_reads_test_Nremove.fastq	17950-18050	1	27100
W641.hifi_reads_test_Nremove.fastq	17950-18050	1	27200
W621.hifi_reads_test_Nremove.fastq	18050-18150	2	27300
W641.hifi_reads_test_Nremove.fastq	18050-18150	2	27400
W621.hifi_reads_test_Nremove.fastq	18150-18250	3	27500
W641.hifi_reads_test_Nremove.fastq	18150-18250	3	27600
W621.hifi_reads_test_Nremove.fastq	18250-18350	2	27700
W641.hifi_reads_test_Nremove.fastq	18250-18350	1	27800
W621.hifi_reads_test_Nremove.fastq	18350-18450	0	27900
W641.hifi_reads_test_Nremove.fastq	18350-18450	1	28000
W621.hifi_reads_test_Nremove.fastq	18450-18550	1	28100
W641.hifi_reads_test_Nremove.fastq	18450-18550	0	28200
W621.hifi_reads_test_Nremove.fastq	18550-18650	2	28300
W641.hifi_reads_test_Nremove.fastq	18550-18650	0	28400
W621.hifi_reads_test_Nremove.fastq	18650-18750	1	28500
W641.hifi_reads_test_Nremove.fastq	18650-18750	1	28600
W621.hifi_reads_test_Nremove.fastq	18750-18850	0	28700
W641.hifi_reads_test_Nremove.fastq	18750-18850	5	28800
W621.hifi_reads_test_Nremove.fastq	18850-18950	0	28900
W641.hifi_reads_test_Nremove.fastq	18850-18950	1	29000
W621.hifi_reads_test_Nremove.fastq	18950-19050	2	29100
W641.hifi_reads_test_Nremove.fastq	18950-19050	0	29200
W621.hifi_reads_test_Nremove.fastq	19050-19150	1	29300
W641.hifi_reads_test_Nremove.fastq	19050-19150	2	29400
W621.hifi_reads_test_Nremove.fastq	19150-19250	0	29500
W641.hifi_reads_test_Nremove.fastq	19150-19250	1	29600
W621.hifi_reads_test_Nremove.fastq	19250-19350	3	29700
W641.hifi_reads_test_Nremove.fastq	19250-19350	0	29800
W621.hifi_reads_test_Nremove.fastq	19350-19450	4	29900
W641.hifi_reads_test_Nremove.fastq	19350-19450	2	8900
W621.hifi_reads_test_Nremove.fastq	19450-19550	0	9000
W641.hifi_reads_test_Nremove.fastq	19450-19550	3	9100
W621.hifi_reads_test_Nremove.fastq	19550-19650	0	9200
W641.hifi_reads_test_Nremove.fastq	19550-19650	1	9300
W621.hifi_reads_test_Nremove.fastq	19650-19750	1	9400
W641.hifi_reads_test_Nremove.fastq	19650-19750	1	9500
W621.hifi_reads_test_Nremove.fastq	19750-19850	5	9600
W641.hifi_reads_test_Nremove.fastq	19750-19850	2	9700
W621.hifi_reads_test_Nremove.fastq	19850-19950	1	9800
W641.hifi_reads_test_Nremove.fastq	19850-19950	1	9900
W621.hifi_reads_test_Nremove.fastq	19950-20050	1	10000
W641.hifi_reads_test_Nremove.fastq	19950-20050	1	10100
W621.hifi_reads_test_Nremove.fastq	20050-20150	1	10200
W641.hifi_reads_test_Nremove.fastq	20050-20150	1	10300
W621.hifi_reads_test_Nremove.fastq	20150-20250	1	10400
W641.hifi_reads_test_Nremove.fastq	20150-20250	0	10500
W621.hifi_reads_test_Nremove.fastq	20250-20350	2	10600
W641.hifi_reads_test_Nremove.fastq	20250-20350	2	10700
W621.hifi_reads_test_Nremove.fastq	20350-20450	2	10800
W641.hifi_reads_test_Nremove.fastq	20350-20450	1	10900
W621.hifi_reads_test_Nremove.fastq	20450-20550	1	11000
W641.hifi_reads_test_Nremove.fastq	20450-20550	0	11100
W621.hifi_reads_test_Nremove.fastq	20550-20650	0	11200
W641.hifi_reads_test_Nremove.fastq	20550-20650	1	11300
W621.hifi_reads_test_Nremove.fastq	20650-20750	0	11400
W641.hifi_reads_test_Nremove.fastq	20650-20750	3	11500
W621.hifi_reads_test_Nremove.fastq	20750-20850	0	11600
W641.hifi_reads_test_Nremove.fastq	20750-20850	2	11700
W621.hifi_reads_test_Nremove.fastq	20850-20950	2	11800
W641.hifi_reads_test_Nremove.fastq	20850-20950	0	11900
W621.hifi_reads_test_Nremove.fastq	20950-21050	1	12000
W641.hifi_reads_test_Nremove.fastq	20950-21050	0	12100
W621.hifi_reads_test_Nremove.fastq	21050-21150	1	12200
W641.hifi_reads_test_Nremove.fastq	21050-21150	3	12300
W621.hifi_reads_test_Nremove.fastq	21150-21250	1	12400
W641.hifi_reads_test_Nremove.fastq	21150-21250	0	12500
W621.hifi_reads_test_Nremove.fastq	21250-21350	1	12600
W641.hifi_reads_test_Nremove.fastq	21250-21350	1	12700
